video_fgr,video_pha,prompt,cache_path,frame_height,frame_width,num_frames
fgr/VideoMatte240K_train_0337_0.mp4,pha/VideoMatte240K_train_0337_0.mp4,一位穿着白色衬衫和棕色皮裙的女士正在与一位穿着白色连衣裙的小女孩拉着手面对面跳舞。女士有着棕色的头发，脚上穿着白色的鞋子，小女孩则有一头棕色的长发，脚上是粉色的鞋子。背景是透明的。真实风格。全景。整体发灰。,cache/2507vae_0,104,60,21
fgr/VideoMatte240K_train_0337_0.mp4,pha/VideoMatte240K_train_0337_0.mp4,一位身穿白色衬衫和深色皮裙的女性正双手牵着一个小女孩的手面对面跳舞。女性的头发是棕色的，盘在脑后。小女孩穿着白色无袖连衣裙，头发是金色的，披在身上。女性牵着小女孩的手，小女孩则是往女士身上倾倒，小女孩脸上带着笑容，随后她的右腿向后抬起。女性的脸上也带着微笑。她们的鞋子都是浅色的，女性的鞋子是白色的，小女孩的鞋子是粉色的。这个视频的背景是透明的。真实风格。全景。整体发灰。,cache/2507vae_1,104,60,21
fgr/VideoMatte240K_train_0342_2.mp4,pha/VideoMatte240K_train_0342_2.mp4,整体发灰。真实风格。两位女士正在交谈。左边的小女孩穿着白色连衣裙，金色长发披肩，笑得非常开心。右边的成年女士也笑着，穿着白色衬衫，短发卷曲，涂着红色指甲油和红色口红。这个视频的背景是透明的。近景。,cache/2507vae_4,104,60,16
fgr/VideoMatte240K_train_0342_2.mp4,pha/VideoMatte240K_train_0342_2.mp4,整体发灰。两位女士正在交谈。左边的小女孩穿着白色连衣裙，金色长发披肩，笑得非常开心。右边的成年女士也笑着，穿着白色衬衫，短发卷曲，涂着红色指甲油和红色口红。她们双手紧握，小女孩先是身体后仰，然后恢复直立，转头看向了镜头，女士则是对着小女孩说着什么，然后随着女孩一同看向镜头。背景是透明的。真实风格。近景。,cache/2507vae_5,104,60,16
fgr/250812_all_mp4_14_32_100_0.mp4,pha/250812_all_mp4_14_32_100_0.mp4,整体发灰。真实风格。近景。火焰剧烈燃烧，呈现出明亮的黄色和橙色，边缘闪烁着光芒。火焰逐渐蔓延，形成了一个巨大的火球，中心部分颜色更加鲜艳，呈现出深橙色，然后变成黑色的大团烟雾，最后变成半透明然后消散。背景是透明的。,cache/2507vae_10,104,60,14
fgr/250812_all_mp4_14_32_100_0.mp4,pha/250812_all_mp4_14_32_100_0.mp4,火焰在猛烈爆炸燃烧，巨大的火球瞬间绽放开来，呈现出鲜艳的橙黄色。火焰迅速扩散，形成一团巨大的云状结构，边缘部分渐渐染上了深红色和灰黑色的烟雾。随着爆炸的进行，火焰的力量逐渐减弱，逐渐被浓密的灰黑色烟雾所取代，烟雾在空中缓缓升腾，逐渐弥漫开来，变成半透明。最终，火焰渐渐消失。这个视频的背景是透明的。近景。真实风格。整体发灰。,cache/2507vae_11,104,60,14
fgr/VideoMatte240K_train_0343_1.mp4,pha/VideoMatte240K_train_0343_1.mp4,一个女孩在随着音乐摇摆，一个男子在跟女孩说话。左边的女孩有着长长的棕色头发，她戴着一副红色的耳机。她穿着一件浅色的长袖上衣，双手放在耳机两边。右边的男子留有络腮胡，穿着一件棕色和白色格子衬衫，他双手张开，手掌向外，在跟女孩说话。女孩随着音乐在摇摆。这个视频的背景是透明的。近景。真实风格。整体发灰。,cache/2507vae_14,104,60,21
fgr/VideoMatte240K_train_0343_1.mp4,pha/VideoMatte240K_train_0343_1.mp4,整体发灰。真实风格。近景。一个女孩在戴着耳机听音乐，一个男士在跟女孩说话。左边的是一位穿着一件浅色的长袖上衣的女孩，内搭是黑色，面向画面左侧。右边的是一位穿着格子衬衫的男子，面向女孩的后背。女孩有着长长的棕色头发披在身上，戴着红色的耳机，双手放在耳机两边。男子的格子衬衫是棕白相间的。男子的手指张开，手臂伸展，手掌向外，在做着强调的动作。男子的手部动作显得有些激烈。女孩则是随着耳机在左右摇摆。背景是透明的。,cache/2507vae_15,104,60,21
fgr/smokes_smoke_15_9.mp4,pha/smokes_smoke_15_9.mp4,特效风格。一团半透明的白色烟雾缓缓升起。烟雾浓密，逐渐扩散开来。烟雾的边缘模糊，中间部分较为明亮。这个视频的背景是透明的。近景。整体发灰。,cache/2507vae_16,104,60,14
fgr/smokes_smoke_15_9.mp4,pha/smokes_smoke_15_9.mp4,特效风格。近景。一团半透明的白色烟雾从画面左下方向右上方缓缓扩散。烟雾浓密，逐渐扩散开来，最终消失在画面右上方。烟雾的边缘模糊，中间部分较为明亮。这个视频的背景是透明的。整体发灰。,cache/2507vae_17,104,60,14
fgr/VideoMatte240K_train_0319_1.mp4,pha/VideoMatte240K_train_0319_1.mp4,真实风格。近景。一位女士对着镜头做出震惊的表情。她有着金色的短发，穿着浅蓝色带有白色条纹的西装，搭配珍珠项链和白色腰带。这个视频的背景是透明的。整体发灰。,cache/2507vae_24,104,60,15
fgr/VideoMatte240K_train_0319_1.mp4,pha/VideoMatte240K_train_0319_1.mp4,整体发灰。一位女士对着镜头做出震惊崩溃的表情。她穿着蓝白格子外套和白色腰带的女士，金色短发，脖子上戴着一串珍珠项链。她双手捂住嘴巴，眼神中透露出惊讶。随后，她将双手移至耳朵两侧，手指紧紧地抓着头发，嘴巴大张，紧闭眼睛，表情非常震惊和焦虑。背景是透明的。近景。真实风格。,cache/2507vae_25,104,60,15
fgr/250812_all_mp4_28_32_36_0.mp4,pha/250812_all_mp4_28_32_36_0.mp4,整体发灰。真实风格。一个机器人，有着银色的关节和蓝色的眼睛。它站在画面中央，头部稍微向右转，然后转向前方。机器人的脸是光滑的，眼睛发出蓝光。它缓缓地把右手抬起，手臂上的关节清晰可见。背景是透明的。中景。,cache/2507vae_26,104,60,21
fgr/250812_all_mp4_28_32_36_0.mp4,pha/250812_all_mp4_28_32_36_0.mp4,中景。一个白色的机器人，头部光滑，眼睛发出蓝色的光。它的身体由多个关节和机械部件组成，手臂和腿部覆盖着白色的光滑外壳。机器人先是侧身站立，头部看向画面右侧，随后缓慢地转过头来，面向镜头。它的右手缓缓抬起，五指自然张开，手臂弯曲，手掌朝上。整个过程中，机器人的表情平静，没有明显的表情变化。这个视频的背景是透明的。真实风格。整体发灰。,cache/2507vae_27,104,60,21
fgr/VideoMatte240K_train_0097_3.mp4,pha/VideoMatte240K_train_0097_3.mp4,全景。一位女性正在跳舞，她身穿黑色连衣裙，脚踩黑色高跟鞋，头戴橙色安全帽。她面带微笑，身体先微微侧向画面左侧，然后恢复正对镜头，然后在侧向画面右侧，跳舞时双臂随之一起摆动。背景是透明的。真实风格。整体发灰。,cache/2507vae_34,104,60,13
